HP Pavilion x360 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.61 Kg / 3.55 lb,Windows 10 Home,Estimated battery: 4.7 - 5 h,12454092,https://laptopaz.vn/media/product/2519_laptopaz_hp_pavilion_14_x360_3.jpg,V?n ph�ng
HP 250 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,256 GB - SSD,1.78 Kg / 3.92 lb,Windows 10 Pro,Estimated battery: 5.3 - 5.6 h,10943028,https://i5.walmartimages.com/asr/1e74280a-27ff-4730-8d5d-d1d5eae229bb.c4efc819e59cda6ee337ca96b62707db.jpeg,V?n ph�ng
MSI Prestige 14 (US),"14.0"" - 1920x1080",INTEL i5-1240P,NVIDIA GeForce GTX 1650 GDDR6,16 GB DDR4,512 GB - SSD,2.1 Kg / 4.64 lb,Windows 11 Home,Estimated battery: 4.9 - 5.3 h,16560774,https://product.hstatic.net/200000320233/product/prestige14evogrey-1-1024x1024_62da08777bb44f9e807b7d7342cf5880_grande.png,V?n ph�ng
Lenovo IdeaPad L3 15 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,512 GB - SSD,2.2 Kg / 4.85 lb,Windows 10 Home,Estimated battery: 4.6 - 5 h,10723680,https://dreamworksdirect.com/wp-content/uploads/2022/08/ideapad-L3-15IML05.jpg,V?n ph�ng
Lenovo IdeaPad 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),16 GB DDR4,512 GB - SSD,1.85 Kg / 4.08 lb,Windows 11 Home,Estimated battery: 8.8 - 9.4 h,15354360,https://p1-ofp.static.pub/fes/cms/2021/08/02/n71qbirx9yjqype9m7ag6qjpufe12c791401.png,V?n ph�ng
Lenovo IdeaPad 5 Pro 16 (US),"16.0"" - 2560x1600",INTEL i5-11300H,NVIDIA GeForce MX450 25W GDDR6,8 GB DDR4,512 GB - SSD,1.9 Kg / 4.19 lb,Windows 11 Home,Estimated battery: 6.3 - 6.8 h,15671196,https://p4-ofp.static.pub/ShareResource/na/products/ideapad/400x300/lenovo-ideapad-5-pro-16inch-amd-storm-grey.png,V?n ph�ng
Lenovo IdeaPad Flex 5 16 (US),"16.0"" - 1920x1200",AMD Ryzen 5 7530U,AMD Radeon Graphics,8 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 7.8 - 8.4 h,14623200,https://p3-ofp.static.pub/ShareResource/na/products/ideapad/400x300/lenovo-ideapad-flex-5-amd-16inch-arctic-grey.png,V?n ph�ng
Lenovo ThinkPad E14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 5500U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.69 Kg / 3.73 lb,Windows 11 Pro,Estimated battery: 6.2 - 6.7 h,13806738,https://p4-ofp.static.pub/fes/cms/2022/05/13/qcv061kdvm8405f2vrgdo6afndapoz842487.png,V?n ph�ng
HP EliteBook 865 (US),"16.0"" - 1920x1200",AMD Ryzen 5 PRO 6650U,AMD Radeon 660M,16 GB DDR5,512 GB - SSD,1.74 Kg / 3.84 lb,Windows 11 Pro,Estimated battery: 6.4 - 6.9 h,15817428,https://www.notebookcheck.net/fileadmin/Notebooks/HP/EliteBook_865_G9/IMG_7124.jpg,V?n ph�ng
Lenovo ThinkPad X1 Yoga (US),"14.0"" - 1920x1080",INTEL i5-10210U,INTEL HD Graphics 620,8 GB DDR3,256 GB - SSD,1.36 Kg / 3 lb,Windows 10 Pro,Estimated battery: 8.2 - 8.7 h,15829614,https://p2-ofp.static.pub/fes/cms/2022/03/16/te0f46qyrb1r0uh9tvu2ofhiwdxwwn224817.png,M?ng nh?
Dell Latitude 15 (US),"15.6"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,8 GB DDR4,256 GB - SSD,1.55 Kg / 3.42 lb,Windows 10 Pro,Estimated battery: 3.5 - 3.7 h,13063392,https://i.dell.com/is/image/DellContent//content/dam/ss2/product-images/page/franchise/latitude/us-sb-laptop-franchise-page-notebook-latitude-15-3520-800x550.png?fmt=jpg&wid=800&hei=550,V?n ph�ng
HP Pavilion 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 4500U,AMD Radeon RX Vega 6 (Renoir),8 GB DDR4,512 GB - SSD,1.75 Kg / 3.86 lb,Windows 10 Home,Estimated battery: 7 - 7.5 h,11832606,https://maytinhanphat.vn/img/p/hp-pavilion-15-cc137tx-core-i5-8250u-4gb-1tb-p3904.jpg,V?n ph�ng
Lenovo ThinkPad E14 (US),"14.0"" - 1920x1080",INTEL i5-10210U,INTEL HD Graphics 620,8 GB DDR4,256 GB - SSD,1.77 Kg / 3.9 lb,Windows 10 Pro,Estimated battery: 7.8 - 8.4 h,13636134,https://p1-ofp.static.pub/ShareResource/na/products/thinkpad/560x450/lenovo-thinkpad-e14-gen-5-14inch-artic-grey-01.png,V?n ph�ng
Lenovo IdeaPad Flex 5 14 (US),"14.0"" - 1920x1200",AMD Ryzen 3 7330U,AMD Radeon Graphics,8 GB DDR4,256 GB - SSD,1.55 Kg / 3.42 lb,Windows 11 Home,Estimated battery: 8.2 - 8.8 h,13392414,https://bizweb.dktcdn.net/100/408/235/products/ideapad-flex-5-8.jpg?v=1633062541993,V?n ph�ng
HP Envy x360 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.82 Kg / 4.02 lb,Windows 11 Home,Estimated battery: 5.4 - 5.8 h,15110640,https://laptop365.vn/pic/product/images/laptop365-5(4).jpg,V?n ph�ng
Lenovo V14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.6 Kg / 3.53 lb,Windows 10 Pro,Estimated battery: 4.4 - 4.7 h,12051954,https://laptop365.vn/pic/product/images/4696_laptop_lenovo_v14_iil_82c400t1vn-Laptop365.jpg,V?n ph�ng
Asus ZenBook 14 OLED Q409 (US),"14.0"" - 2880x1800",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,8 GB DDR5,1024 GB - SSD,1.39 Kg / 3.06 lb,Windows 11 Home,Estimated battery: 8.1 - 8.7 h,17889048,https://dlcdnwebimgs.asus.com/gain/7c5affa3-a028-4cc3-8bac-8ce757a46f66/,V?n ph�ng
Lenovo IdeaPad Gaming 3 15 (US),"15.6"" - 1920x1080",INTEL i5-11300H,NVIDIA GeForce GTX 1650 GDDR6,8 GB DDR4,256 GB - SSD,2.25 Kg / 4.96 lb,Windows 11 Home,Estimated battery: 3.8 - 4.1 h,15354360,https://laptopcare.vn//ckfinder/userfiles/images/tin-tuc/ideapad_gaming_3_15ach6_ct2_01.png,Gaming
HP Victus 15t (US),"15.6"" - 1920x1080",INTEL i5-12450H,NVIDIA GeForce GTX 1650 GDDR6,16 GB DDR4,512 GB - SSD,2.3 Kg / 5.06 lb,Windows 11 Home,Estimated battery: 4 - 4.3 h,15671196,https://product.hstatic.net/1000167396/product/2463_laptopaz-hp-victus16-man15.6inch-2_6987e644cff2467f9fa347b78721ade0_master.jpg,Gaming
Asus ExpertBook B1 B1400 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.45 Kg / 3.2 lb,Windows 10 Pro,Estimated battery: 4.8 - 5.2 h,14172318,https://dlcdnwebimgs.asus.com/gain/9c6f1e8b-0bc0-4962-9520-8f50c0180af0/,M?ng nh?
Acer Swift 3 14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 4500U,AMD Radeon RX Vega 6 (Renoir),8 GB DDR4,512 GB - SSD,1.2 Kg / 2.65 lb,Windows 10 Home,Estimated battery: 8.4 - 9 h,14172318,https://m.media-amazon.com/images/I/81nN5u1MEuL.jpg,M?ng nh?
Lenovo IdeaPad Slim 5 16 (US),"16.0"" - 1920x1200",AMD Ryzen 5 7530U,AMD Radeon Graphics,16 GB DDR4,512 GB - SSD,1.89 Kg / 4.17 lb,Windows 11 Home,Estimated battery: 12.5 - 13.4 h,15378732,https://p1-ofp.static.pub/ShareResource/na/products/ideapad/1060x596/lenovo-ideapad-slim-5-16inch-amd-abyss-blue-01.png,V?n ph�ng
HP Pavilion 15t (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.75 Kg / 3.86 lb,Windows 10 Home,Estimated battery: 4.3 - 4.6 h,13563018,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08114715.png,V?n ph�ng
Asus ZenBook 14 Q408 (US),"14.0"" - 1920x1080",AMD Ryzen 5 5500U,NVIDIA GeForce MX450 25W GDDR6,8 GB DDR4,256 GB - SSD,1.22 Kg / 2.69 lb,Windows 10 Pro,Estimated battery: 5.4 - 5.8 h,14562270,https://laptopaz.vn/media/product/2118_asus_q408ug_laptopaz.png,M?ng nh?
Acer Nitro 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5600H,NVIDIA GeForce GTX 1650 GDDR6,8 GB DDR4,256 GB - SSD,2.3 Kg / 5.07 lb,Windows 10 Home,Estimated battery: 3.8 - 4 h,15829614,https://fptshop.com.vn/Uploads/Originals/2021/12/6/637743874726278183_acer-nitro-gaming-an515-57-56xx-den-dd.jpg,Gaming
Acer TravelMate P2 TMP214-41 (US),"14.0"" - 1920x1080",AMD Ryzen 7 PRO 5850U,AMD Radeon RX Vega 8 (Cezanne),8 GB DDR4,256 GB - SSD,1.6 Kg / 3.53 lb,Windows 10 Pro,Estimated battery: 8.4 - 9 h,14623200,https://i5.walmartimages.com/seo/Acer-TravelMate-P2-TMP214-41-G2-180-degree-hinge-design-AMD-Ryzen-7-Pro-5850U-1-9-GHz-Win-10-64-bit-Radeon-Graphics-8-GB-RAM-256-SSD-14-1920-x-1080-F_57df3f3b-6347-4b4b-9890-77f432cf4575.b8866734807584131cc47879d788c17d.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,V?n ph�ng
Acer Chromebook 516 (US),"16.0"" - 2560x1600",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Chrome OS,Estimated battery: 7.3 - 7.8 h,15817428,https://www.zdnet.com/a/img/resize/a8ac295a4879e5c5657e7e7f89d3e33129973afc/2022/11/09/7726696d-0325-45c8-a0d4-43fbc9800623/acer-chromebook-516-ge-hero.jpg?auto=webp&fit=crop&height=900&width=1200,V?n ph�ng
HP EliteBook 840 (US),"14.0"" - 1920x1080",INTEL i5-1145G7,INTEL Iris Xe G7 96 EU,8 GB DDR4,256 GB - SSD,1.32 Kg / 2.91 lb,Windows 10 Pro,Estimated battery: 6.9 - 7.4 h,15793056,https://laptopsv.vn/wp-content/uploads/2019/01/laptop-hp-elitebook-840-g3-5.jpg,M?ng nh?
HP ProBook 445 (US),"14.0"" - 1920x1080",AMD Ryzen 5 5600U,AMD Radeon RX Vega 7 (Cezanne),16 GB DDR4,512 GB - SSD,1.37 Kg / 3.03 lb,Windows 10 Pro,Estimated battery: 6.2 - 6.7 h,16024590,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08431466.png,M?ng nh?
Lenovo ThinkPad T14 (US),"14.0"" - 1920x1080",AMD Ryzen 7 PRO 5850U,AMD Radeon RX Vega 8 (Cezanne),16 GB DDR4,512 GB - SSD,1.55 Kg / 3.42 lb,Windows 10 Pro,Estimated battery: 8.7 - 9.3 h,17352864,https://p2-ofp.static.pub/fes/cms/2022/03/21/307ohwrktpcu8bcohcn6oepw43cboq747336.png,V?n ph�ng
MSI Prestige 14 EVO (US),"14.0"" - 1920x1080",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.29 Kg / 2.84 lb,Windows 11 Pro,Estimated battery: 6.8 - 7.3 h,17023842,https://www.notebookcheck.net/fileadmin/Notebooks/MSI/Prestige_14_Evo_A11MO_026US/MSI_Prestige_14_Evo_A11MO_4.jpg,M?ng nh?
HP ProBook 455 (US),"15.6"" - 1920x1080",AMD Ryzen 5 7530U,AMD Radeon Graphics,8 GB DDR4,256 GB - SSD,1.75 Kg / 3.86 lb,Windows 11 Pro,Estimated battery: 7.2 - 7.7 h,15086268,https://anphat.com.vn/media/product/37282_c07007042.png,V?n ph�ng
Dell Latitude 14 (US),"14.0"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,8 GB DDR4,256 GB - SSD,1.35 Kg / 2.98 lb,Windows 10 Pro,Estimated battery: 3.5 - 3.8 h,13879854,https://trungtran.vn/upload_images/images/products/dell-latitude/large/dell-latitude-5400-frontview-trungtran.vn_.png,M?ng nh?
Lenovo ThinkPad L15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 PRO 5650U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.99 Kg / 4.39 lb,Windows 11 Pro,Estimated battery: 7.7 - 8.2 h,14586642,https://p3-ofp.static.pub/fes/cms/2022/03/21/vn2el0yrc8ue0wxtb5xm2mwnfljrov555172.png,V?n ph�ng
Acer Aspire Vero AV15 (US),"15.6"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,8 GB DDR4,512 GB - SSD,1.76 Kg / 3.88 lb,Windows 11 Home,Estimated battery: 4.1 - 4.4 h,11930094,"https://m.media-amazon.com/images/I/71XlcDk5OZL._AC_UF894,1000_QL80_.jpg",V?n ph�ng
Lenovo IdeaPad S145-15 (US),"15.6"" - 1366x768",INTEL i3-1005G1,INTEL UHD Graphics G1,8 GB DDR4,128 GB - SSD,1.85 Kg / 4.08 lb,Windows 10 Home,Estimated battery: 5.9 - 6.3 h,10455588,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjkyNzI0fGltYWdlL3BuZ3xoNGYvaDMyLzEwMDczMzk4NjA3OTAyLnBuZ3xkOWU0Y2EwOWMxNTVkYWQ0YWVlMTIwYzg1N2M1ODlkYTE0ZjZjMjA5NDJkNDZmOGJhZDAyY2EyMTRmZmQ1ZWQ4/ideapad-S145-15-intel-grey-hero.png,V?n ph�ng
Lenovo 14w (US),"14.0"" - 1920x1080",AMD 3015e,AMD Radeon RX Vega 3 (Picasso),4 GB DDR3,128 GB - SSD,1.45 Kg / 3.2 lb,Windows 10 Pro,Estimated battery: 12.9 - 13.9 h,10894284,https://www.bhphotovideo.com/images/images2500x2500/lenovo_81mq000jus_computer_1484629.jpg,M?ng nh?
Lenovo IdeaPad 5 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.39 Kg / 3.06 lb,Windows 10 Home,Estimated battery: 5.2 - 5.5 h,15305616,https://p4-ofp.static.pub/fes/cms/2021/07/22/zdcw37ae87o6c246lbmksh5i6p6iz1470614.png,M?ng nh?
Acer Aspire Vero AV14 (US),"14.0"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,16 GB DDR4,512 GB - SSD,1.5 Kg / 3.31 lb,Windows 11 Home,Estimated battery: 4.8 - 5.1 h,12990276,"https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av14-51-cobblestone-gray-modelmain_nx.kbmaa.001.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",V?n ph�ng
Acer Aspire 3 14 (US),"14.0"" - 1920x1200",INTEL i3-N305,INTEL UHD Graphics,8 GB DDR5,256 GB - SSD,1.54 Kg / 3.4 lb,Windows 11 Home,Estimated battery: 6.3 - 6.7 h,12502836,"https://m.media-amazon.com/images/I/81b4I343h8L._AC_UF1000,1000_QL80_.jpg",V?n ph�ng
Lenovo IdeaPad 1-15 (US),"15.6"" - 1920x1080",AMD Ryzen 7 5700U,AMD Radeon RX Vega 8 (Cezanne),12 GB DDR4,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Home,Estimated battery: 5.3 - 5.6 h,14623200,https://www.tncstore.vn/image/cache/catalog/laptop/Lenovo/Ideapad%201%2015AMN7%2082VG0022VN/Lenovo%20Ideapad%201%2015AMN7%2082VG0022VN-500x500.jpg,V?n ph�ng
HP Zbook Firefly 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,256 GB - SSD,1.35 Kg / 2.98 lb,Windows 11 Pro,Estimated battery: 6.1 - 6.5 h,18583650,https://www.zdnet.com/a/img/resize/b9de47e273abd71b175315f1c5b612c170a6be3b/2021/03/11/dcf62a61-b3ea-4c3e-89ef-3171ecf2c00c/hp-zbook-firefly-14-g7-main.jpg?auto=webp&width=1280,M?ng nh?
Dell Inspiron 15 (US),"15.6"" - 1920x1080",INTEL i7-1065G7,INTEL Iris Plus Graphics G7,8 GB DDR4,512 GB - SSD,2.05 Kg / 4.52 lb,Windows 10 Home,Estimated battery: 7.8 - 8.3 h,13380228,https://cdn.tgdd.vn/Products/Images/44/75731/dell-inspiron-15-7559-3.jpg,V?n ph�ng
MSI Modern 14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 7530U,AMD Radeon Graphics,16 GB DDR4,1024 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Home,Estimated battery: 6.8 - 7.3 h,14623200,https://www.bhphotovideo.com/images/images2500x2500/msi_modern_14_c11m_065us_14_modern_14_c11m_1746129.jpg,M?ng nh?
MSI Summit E14 Flip Evo (US),"14.0"" - 2880x1800",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR5,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Pro,Estimated battery: 7.4 - 7.9 h,19741320,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6539/6539626cv1d.jpg,V?n ph�ng
Dell Precision 15 (US),"15.6"" - 1920x1080",INTEL i5-1145G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,256 GB - SSD,1.59 Kg / 3.51 lb,Windows 10 Pro,Estimated battery: 5.4 - 5.8 h,16804494,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/workstations/mobile-workstations/precision/15-5570/media-gallery/workstation-precision-15-5570-gallery-4.psd?fmt=png-alpha&pscan=auto&scl=1&hei=402&wid=657&qlt=100,1&resMode=sharp2&size=657,402&chrss=full","?? ho?, k? thu?t"
MSI Gaming GF63 (US),"15.6"" - 1920x1080",INTEL i5-10300H,NVIDIA GeForce GTX 1650 Max-Q GDDR6,8 GB DDR4,256 GB - SSD,1.86 Kg / 4.1 lb,Windows 10 Home,Estimated battery: 3.9 - 4.1 h,15500592,https://mega.com.vn/media/news/1485_22024_laptop_msi_gaming_gf63_thin_11sc_664vn_den.jpg,Gaming
Dell Vostro 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.64 Kg / 3.62 lb,Windows 10 Pro,Estimated battery: 4.8 - 5.2 h,14489154,https://i.dell.com/sites/imagecontent/shared-content/data-sheets/PublishingImages/Vostro-5480-laptop.png,V?n ph�ng
Lenovo IdeaPad 1-15 (US),"15.6"" - 1920x1080",INTEL i3-1215U,INTEL UHD Graphics 12th gen,8 GB DDR4,256 GB - SSD,1.63 Kg / 3.59 lb,Windows 11 Home,Estimated battery: 3.6 - 3.8 h,10943028,https://i.ytimg.com/vi/AublbA6GVPw/mqdefault.jpg,V?n ph�ng
Lenovo IdeaPad Flex 5 16 (US),"16.0"" - 1920x1200",INTEL i5-1335U,INTEL Iris Xe 80 EU,8 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 4.1 - 4.5 h,17060400,https://mediatechlb.com/wp-content/uploads/2022/12/2-Copy-1-1.jpg.webp,V?n ph�ng
Lenovo IdeaPad 5 14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 4500U,AMD Radeon RX Vega 6 (Renoir),8 GB DDR4,256 GB - SSD,1.39 Kg / 3.06 lb,Windows 10 Home,Estimated battery: 7.8 - 8.4 h,14586642,"https://m.media-amazon.com/images/I/41hxIe7M-VL._AC_UF894,1000_QL80_.jpg",M?ng nh?
Asus VivoBook 16 OLED M1605 (US),"16.0"" - 1920x1200",AMD Ryzen 5 7530U,AMD Radeon Graphics,8 GB DDR4,512 GB - SSD,1.88 Kg / 4.14 lb,Windows 11 Home,Estimated battery: 11.6 - 12.4 h,15013152,https://kimlongcenter.com/upload/product/asus-vivobook-a1403za-ly072w-1.jpg,V?n ph�ng
Acer Nitro 5 15 (US),"15.6"" - 1920x1080",INTEL i5-11400H,NVIDIA GeForce RTX 3050 Ti 75W,16 GB DDR4,512 GB - SSD,2.3 Kg / 5.07 lb,Windows 10 Home,Estimated battery: 4.7 - 5 h,18035280,https://laptopaz.vn/media/product/2554_,Gaming
Asus VivoBook 15 F512 (US),"15.6"" - 1920x1080",AMD Ryzen 3 3250U,AMD Radeon RX Vega 3 (Picasso),8 GB DDR4,256 GB - SSD,1.59 Kg / 3.51 lb,Windows 10 Home,Estimated battery: 6.3 - 6.8 h,11905722,https://www.asus.com/media/us/products/0dzccgruuh83rknj/4haz7fqbupqlbloi_setting_xxx_0_90_end_2000.png,V?n ph�ng
Lenovo IdeaPad Slim 9i 14 (US),"14.0"" - 3840x2160",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.29 Kg / 2.84 lb,Windows 10 Pro,Estimated battery: 5.8 - 6.3 h,20777130,https://p2-ofp.static.pub/ShareResource/na/products/ideapad/725x515/lenovo-ideapad-slim-9i-14-shadow-black.png,M?ng nh?
Lenovo ThinkPad P14s (US),"14.0"" - 1920x1080",AMD Ryzen 7 PRO 4750U,AMD Radeon RX Vega 7 (Renoir),16 GB DDR4,512 GB - SSD,1.47 Kg / 3.24 lb,Windows 10 Pro,Estimated battery: 6.9 - 7.4 h,19046718,https://p3-ofp.static.pub/fes/cms/2023/05/11/8jorlcqdb382u1ck8qacvt4nyuvflg327159.png,V?n ph�ng
Lenovo ThinkBook 14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Pro,Estimated battery: 7.8 - 8.4 h,16463286,https://i5.walmartimages.com/seo/Lenovo-ThinkBook-14-G4-IAP-21DH-Intel-Core-i7-1255U-1-7-GHz-Win-10-Pro-64-bit-includes-11-License-Iris-Xe-Graphics-16-GB-RAM-512-SSD-NVMe-14-IPS-touc_c18f36fa-3499-41ee-afb4-36d1a00dc4a6.fcd171ccb75546a5963f214872d5d665.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,V?n ph�ng
Lenovo IdeaPad Gaming 3 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 6600H,NVIDIA GeForce RTX 3050 Ti 75W,8 GB DDR5,256 GB - SSD,2.32 Kg / 5.1 lb,Windows 11 Home,Estimated battery: 2.7 - 2.9 h,16073334,https://laptop365.vn/pic/product/images/lenovo-82K200UTUS-Laptop365.jpg,Gaming
Asus TUF F15 (US),"15.6"" - 1920x1080",INTEL i5-11400H,NVIDIA GeForce RTX 3050 75W,8 GB DDR4,512 GB - SSD,2.3 Kg / 5.07 lb,Windows 10 Home,Estimated battery: 4.1 - 4.4 h,17023842,https://dlcdnwebimgs.asus.com/gain/89c3483e-d243-4371-89d2-4ea4b498dc08/,Gaming
MSI Modern 15 (US),"15.6"" - 1920x1080",AMD Ryzen 7 5700U,AMD Radeon RX Vega 8 (Cezanne),8 GB DDR4,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Home,Estimated battery: 7.1 - 7.6 h,16536402,https://asset-us-store.msi.com/image/cache/catalog/Pd_page/Laptops/MODERN15/GEN11/GRAY/MODERN15A11-1-1024x1024.png,V?n ph�ng
Bmorn Gateway GWTN156 (US),"15.6"" - 1920x1080",AMD Ryzen 5 3450U,AMD Radeon RX Vega 8 (Picasso),8 GB DDR4,256 GB - SSD,1.86 Kg / 4.1 lb,Windows 10 Home,Estimated battery: 8.2 - 8.8 h,13136508,https://gatewayusa.com/images/products/GWTN156-4/product-top-background-img.png,V?n ph�ng
Lenovo V15 (US),"15.6"" - 1920x1080",INTEL i3-1005G1,INTEL UHD Graphics G1,4 GB DDR4,500 GB - 7200rpm HDD,1.85 Kg / 4.08 lb,Windows 10 Pro,Estimated battery: 5.5 - 5.9 h,11467026,https://p1-ofp.static.pub/fes/cms/2022/02/10/ruuqwxsmwevzvmz3pjne8wvrgq3u6k034997.png,V?n ph�ng
Acer Extensa 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 7520U,AMD Radeon 610M,8 GB DDR5,256 GB - SSD,1.78 Kg / 3.92 lb,Windows 11 Pro,Estimated battery: 7.2 - 7.7 h,13489902,https://m.media-amazon.com/images/I/71SCvh0L3OL.jpg,V?n ph�ng
Tongfang PL5TU1B (US),"15.6"" - 1920x1080",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.66 Kg / 3.66 lb,Windows 10 Home,Estimated battery: 8.7 - 9.3 h,19497600,https://noteb.com/res/img/models/3307_1.jpg,V?n ph�ng
Dell Latitude 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.52 Kg / 3.35 lb,Windows 10 Pro,Estimated battery: 4.7 - 5 h,15768684,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmISvGJLCgDVG2NnBP4TfTvmM0LtNTD8KSCA&usqp=CAU,V?n ph�ng
Dell Gaming G16 (US),"16.0"" - 2560x1600",INTEL i7-12700H,NVIDIA GeForce RTX 3050 Ti,16 GB DDR5,512 GB - SSD,2.7 Kg / 5.95 lb,Windows 11 Home,Estimated battery: 6 - 6.4 h,22007916,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/g-series/g16-7620/media-gallery/notebook-g16-7620-black-gallery-1.psd?fmt=png-alpha&pscan=auto&scl=1&hei=402&wid=584&qlt=100,1&resMode=sharp2&size=584,402&chrss=full",Gaming
Asus VivoBook 15 F1504 (US),"15.6"" - 1920x1080",INTEL i3-1215U,INTEL UHD Graphics 12th gen,8 GB DDR4,128 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Home,Estimated battery: 3.6 - 3.8 h,11418282,https://www.harapanrakyat.com/wp-content/uploads/2022/08/Asus-VivoBook-15-X515EA-EJ302TS-Hadir-dengan-Performa-Baik.jpg,V?n ph�ng
Dell Inspiron 14 2-in-1 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.65 Kg / 3.64 lb,Windows 10 Home,Estimated battery: 4.4 - 4.8 h,16292682,https://i.dell.com/sites/csimages/Video_Imagery/all/antman-inspiron-14-2-in-1-thumbnail.jpg,V?n ph�ng
Lenovo Legion 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050 Ti 95W,8 GB DDR4,512 GB - SSD,2.47 Kg / 5.44 lb,Windows 11 Home,Estimated battery: 4.1 - 4.4 h,20472480,https://cdn2.cellphones.com.vn/200x/media/catalog/product/l/a/laptop-lenovo-legion-5-15ach6h-82ju00dgvn-1.jpg,Gaming
