LG gram 16 2-in-1 (US),"16.0"" - 2560x1600",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.48 Kg / 3.26 lb,Windows 11 Home,Estimated battery: 7.5 - 8.1 h,24372000,https://m.media-amazon.com/images/I/61WWWGW5UfL.jpg,M?ng nh?
Asus VivoBook 16X S5602 (US),"16.0"" - 1920x1200",INTEL i5-12500H,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.8 Kg / 3.97 lb,Windows 11 Home,Estimated battery: 6.7 - 7.2 h,21069594,https://dlcdnwebimgs.asus.com/gain/b43eec45-1af6-4322-a33a-3d50dbaf60bd/,V?n ph�ng
Asus ROG Zephyrus G14 (US),"14.0"" - 1920x1080",AMD Ryzen 7 5800HS,NVIDIA GeForce RTX 3060 80W,16 GB DDR4,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Home,Estimated battery: 6.5 - 7 h,25322508,https://dlcdnwebimgs.asus.com/gain/F53E4CAC-8A94-4394-87D2-37235A8E47F8/w1000/h732,Gaming
LG gram 14 (US),"14.0"" - 1920x1200",AMD Ryzen 5 7530U,AMD Radeon Graphics,8 GB DDR4,512 GB - SSD,1.29 Kg / 2.84 lb,Windows 11 Pro,Estimated battery: 12.2 - 13.1 h,20691828,https://m.media-amazon.com/images/I/71oEw8WrzgL.jpg,M?ng nh?
MSI Gaming GF65 (US),"15.6"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce GTX 1660 Ti,8 GB DDR4,512 GB - SSD,1.86 Kg / 4.1 lb,Windows 10 Home,Estimated battery: 3.9 - 4.1 h,21362058,"https://m.media-amazon.com/images/I/61xngCGseFL._AC_UF894,1000_QL80_.jpg",Gaming
MSI Crosshair 15 (US),"15.6"" - 1920x1080",INTEL i7-11800H,NVIDIA GeForce RTX 3050 60W,8 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 10 Home,Estimated battery: 4 - 4.3 h,21825126,https://asset.msi.com/resize/image/global/product/product_1639452976b16a284f06bded661b9d27f09ff5eafc.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png,Gaming
Dell Gaming G3 15 (US),"15.6"" - 1920x1080",INTEL i5-10300H,NVIDIA GeForce GTX 1650 GDDR6,8 GB DDR4,256 GB - SSD,2.36 Kg / 5.2 lb,Windows 10 Home,Estimated battery: 5.1 - 5.5 h,20594340,https://cdn.tgdd.vn/Products/Images/44/244384/dell-g3-15-i7-p89f002g3500c-600x600.jpg,Gaming
Asus Chromebook Vibe Flip CX3 (US),"14.0"" - 1920x1200",INTEL i5-1235U,INTEL Iris Xe 80 EU,8 GB DDR4,256 GB - SSD,1.81 Kg / 3.99 lb,Chrome OS,Estimated battery: 5.1 - 5.5 h,18729882,https://dlcdnwebimgs.asus.com/gain/08005eba-a214-41f5-8bd9-e6fd73281c37/,V?n ph�ng
Asus TUF Dash 15 (US),"15.6"" - 1920x1080",INTEL i5-12450H,NVIDIA GeForce RTX 3050 75W,8 GB DDR5,512 GB - SSD,2 Kg / 4.41 lb,Windows 11 Home,Estimated battery: 5.7 - 6.2 h,21898242,https://dlcdnwebimgs.asus.com/gain/89c3483e-d243-4371-89d2-4ea4b498dc08/,Gaming
Clevo NS50 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.74 Kg / 3.84 lb,Windows 11 Pro,Estimated battery: 8.3 - 8.9 h,21410802,https://noteb.com/res/img/models/3277_3.jpg,V?n ph�ng
MSI Summit E14 Evo (US),"14.0"" - 1920x1200",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR5,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Pro,Estimated battery: 9.2 - 9.9 h,22982796,https://storage-asset.msi.com/global/picture/image/feature/nb/Summit/Summit-E14-Evo/EVO-cpu.png,"?? ho?, k? thu?t"
Lenovo V14 (US),"14.0"" - 1920x1080",INTEL i3-1315U,INTEL UHD Graphics,8 GB DDR4,256 GB - SSD,1.41 Kg / 3.11 lb,Windows 11 Pro,Estimated battery: 3.2 - 3.5 h,15354360,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6447/6447180_sd.jpg,M?ng nh?
LG gram 16 (US),"16.0"" - 2560x1600",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,256 GB - SSD,1.19 Kg / 2.62 lb,Windows 10 Home,Estimated battery: 9 - 9.6 h,24335442,https://www.lg.com/vn/images/laptops/md07572659/gallery/D-02.jpg,M?ng nh?
Asus ZenBook 14 OLED UM3402 (US),"14.0"" - 2880x1800",AMD Ryzen 7 5825U,AMD Radeon RX Vega 8 (Cezanne),8 GB DDR4,512 GB - SSD,1.39 Kg / 3.06 lb,Windows 11 Home,Estimated battery: 10.9 - 11.7 h,23799258,https://dlcdnwebimgs.asus.com/gain/c1a88401-55c5-4c03-ae64-a7863cc40e01/w800,V?n ph�ng
Lenovo Yoga 7 16 (US),"16.0"" - 1920x1200",AMD Ryzen 7 7735U,AMD Radeon 680M,16 GB DDR5,512 GB - SSD,2.04 Kg / 4.5 lb,Windows 11 Home,Estimated battery: 8.2 - 8.8 h,23141214,https://laptop88.vn/media/product/8033_yoga.jpg,M?ng nh?
HP EliteBook 850 (US),"15.6"" - 1920x1080",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.68 Kg / 3.7 lb,Windows 11 Pro,Estimated battery: 6.8 - 7.3 h,21898242,https://laptopsv.vn/wp-content/uploads/2020/02/Laptop-HP-Elitebook-850-G1-1200x840-1.jpg,V?n ph�ng
